"DateStart","DateEnd","PDO"
2010-01-01,2010-02-01,"0.06"
2010-02-01,2010-03-04,"0.16"
2010-03-01,2010-03-29,"-0.21"
2010-04-01,2010-05-02,"-0.27"
2010-05-01,2010-05-31,"-0.35"
2010-06-01,2010-07-02,"-0.93"
2010-07-01,2010-07-31,"-2.17"
2010-08-01,2010-09-01,"-2.44"
2010-09-01,2010-10-02,"-2.44"
2010-10-01,2010-10-31,"-1.61"
2010-11-01,2010-12-02,"-1.58"
2010-12-01,2010-12-31,"-2.00"
2011-01-01,2011-02-01,"-1.73"
2011-02-01,2011-03-04,"-1.45"
2011-03-01,2011-03-29,"-1.29"
2011-04-01,2011-05-02,"-1.26"
2011-05-01,2011-05-31,"-0.96"
2011-06-01,2011-07-02,"-1.32"
2011-07-01,2011-07-31,"-2.50"
2011-08-01,2011-09-01,"-2.60"
2011-09-01,2011-10-02,"-2.63"
2011-10-01,2011-10-31,"-1.95"
2011-11-01,2011-12-02,"-2.96"
2011-12-01,2011-12-31,"-2.32"
2012-01-01,2012-02-01,"-1.72"
2012-02-01,2012-03-03,"-1.26"
2012-03-01,2012-03-30,"-1.59"
2012-04-01,2012-05-02,"-0.94"
2012-05-01,2012-05-31,"-2.00"
2012-06-01,2012-07-02,"-1.42"
2012-07-01,2012-07-31,"-2.33"
2012-08-01,2012-09-01,"-2.50"
2012-09-01,2012-10-02,"-3.04"
2012-10-01,2012-10-31,"-1.22"
2012-11-01,2012-12-02,"-0.59"
2012-12-01,2012-12-31,"-1.25"
2013-01-01,2013-02-01,"-0.94"
2013-02-01,2013-03-04,"-1.31"
2013-03-01,2013-03-29,"-1.17"
2013-04-01,2013-05-02,"-0.62"
2013-05-01,2013-05-31,"-0.41"
2013-06-01,2013-07-02,"-1.26"
2013-07-01,2013-07-31,"-1.77"
2013-08-01,2013-09-01,"-1.77"
2013-09-01,2013-10-02,"-1.09"
2013-10-01,2013-10-31,"-1.90"
2013-11-01,2013-12-02,"-1.18"
2013-12-01,2013-12-31,"-1.15"
2014-01-01,2014-02-01,"-0.59"
2014-02-01,2014-03-04,"-0.42"
2014-03-01,2014-03-29,"0.29"
2014-04-01,2014-05-02,"0.42"
2014-05-01,2014-05-31,"1.10"
2014-06-01,2014-07-02,"-0.31"
2014-07-01,2014-07-31,"0.15"
2014-08-01,2014-09-01,"-0.00"
2014-09-01,2014-10-02,"0.58"
2014-10-01,2014-10-31,"1.34"
2014-11-01,2014-12-02,"1.35"
2014-12-01,2014-12-31,"1.96"
2015-01-01,2015-02-01,"1.71"
2015-02-01,2015-03-04,"1.76"
2015-03-01,2015-03-29,"1.52"
2015-04-01,2015-05-02,"0.95"
2015-05-01,2015-05-31,"0.32"
2015-06-01,2015-07-02,"0.73"
2015-07-01,2015-07-31,"1.27"
2015-08-01,2015-09-01,"0.75"
2015-09-01,2015-10-02,"0.86"
2015-10-01,2015-10-31,"0.77"
2015-11-01,2015-12-02,"0.17"
2015-12-01,2015-12-31,"0.52"
2016-01-01,2016-02-01,"0.81"
2016-02-01,2016-03-03,"1.26"
2016-03-01,2016-03-30,"1.57"
2016-04-01,2016-05-02,"1.65"
2016-05-01,2016-05-31,"1.50"
2016-06-01,2016-07-02,"0.83"
2016-07-01,2016-07-31,"0.18"
2016-08-01,2016-09-01,"-0.88"
2016-09-01,2016-10-02,"-1.06"
2016-10-01,2016-10-31,"-0.61"
2016-11-01,2016-12-02,"0.85"
2016-12-01,2016-12-31,"0.57"
2017-01-01,2017-02-01,"0.13"
2017-02-01,2017-03-04,"0.08"
2017-03-01,2017-03-29,"0.15"
2017-04-01,2017-05-02,"0.55"
2017-05-01,2017-05-31,"0.27"
2017-06-01,2017-07-02,"0.18"
2017-07-01,2017-07-31,"-0.49"
2017-08-01,2017-09-01,"-0.63"
2017-09-01,2017-10-02,"-0.26"
2017-10-01,2017-10-31,"-0.63"
2017-11-01,2017-12-02,"-0.45"
2017-12-01,2017-12-31,"-0.12"
2018-01-01,2018-02-01,"0.34"
2018-02-01,2018-03-04,"-0.14"
2018-03-01,2018-03-29,"-0.61"
2018-04-01,2018-05-02,"-0.88"
2018-05-01,2018-05-31,"-0.69"
2018-06-01,2018-07-02,"-0.85"
2018-07-01,2018-07-31,"-0.09"
2018-08-01,2018-09-01,"-0.44"
2018-09-01,2018-10-02,"-0.47"
2018-10-01,2018-10-31,"-0.74"
2018-11-01,2018-12-02,"-0.78"
2018-12-01,2018-12-31,"-0.08"
2019-01-01,2019-02-01,"-0.18"
2019-02-01,2019-03-04,"-0.50"
2019-03-01,2019-03-29,"-0.23"
2019-04-01,2019-05-02,"0.11"
2019-05-01,2019-05-31,"0.17"
2019-06-01,2019-07-02,"-0.11"
2019-07-01,2019-07-31,"0.44"
2019-08-01,2019-09-01,"-0.14"
2019-09-01,2019-10-02,"0.05"
2019-10-01,2019-10-31,"-0.96"
2019-11-01,2019-12-02,"-0.30"
2019-12-01,2019-12-31,"0.02"
2020-01-01,2020-02-01,"-1.40"
2020-02-01,2020-03-03,"-1.35"
